2022-02-01 15:27:30.174 [restartedMain] INFO  c.s.springbootdemo.SpringbootdemoApplication - Starting SpringbootdemoApplication on Jiang with PID 15196 (F:\workspace\java\SpringBootWorkSpace\target\classes started by Administrator in F:\workspace\java\SpringBootWorkSpace)
2022-02-01 15:30:22.761 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2022-02-01 15:30:23.599 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-02-01 15:30:23.608 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-02-01 15:30:23.609 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-02-01 15:30:23.609 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2022-02-01 15:30:23.772 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/share] - Initializing Spring embedded WebApplicationContext
2022-02-01 15:30:23.773 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1983 ms
2022-02-01 15:30:24.995 [restartedMain] WARN  org.springframework.data.convert.CustomConversions - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2022-02-01 15:30:24.995 [restartedMain] WARN  org.springframework.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2022-02-01 15:30:24.996 [restartedMain] WARN  org.springframework.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2022-02-01 15:30:24.996 [restartedMain] WARN  org.springframework.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2022-02-01 15:30:26.075 [restartedMain] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.2.RELEASE
2022-02-01 15:30:26.076 [restartedMain] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
2022-02-01 15:30:26.076 [restartedMain] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client used: 7.6.2
2022-02-01 15:30:26.179 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-02-01 15:30:27.213 [restartedMain] WARN  o.s.d.e.r.support.AbstractElasticsearchRepository - Cannot create index: Timeout connecting to [localhost/127.0.0.1:9200]; nested exception is java.lang.RuntimeException: Timeout connecting to [localhost/127.0.0.1:9200]
2022-02-01 15:30:27.600 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-02-01 15:30:27.700 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2022-02-01 15:30:28.445 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2022-02-01 15:30:28.461 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/share'
2022-02-01 15:30:28.463 [restartedMain] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2022-02-01 15:30:28.502 [restartedMain] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#5644e3ba:0/SimpleConnection@5f6cf2cb [delegate=amqp://guest@127.0.0.1:5672/, localPort= 57213]
2022-02-01 15:30:40.543 [restartedMain] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Broker not available; cannot force queue declarations during start: Error creating bean with name 'jpaMappingContext': Invocation of init method failed; nested exception is java.lang.IllegalArgumentException: JPA metamodel must not be empty!
2022-02-01 15:30:40.584 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
2022-02-01 15:30:40.585 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
2022-02-01 15:30:40.595 [restartedMain] INFO  c.s.springbootdemo.SpringbootdemoApplication - Started SpringbootdemoApplication in 19.436 seconds (JVM running for 20.363)
2022-02-01 15:30:40.597 [restartedMain] INFO  c.s.springbootdemo.SpringbootdemoApplication - ===============启动成功了===============
2022-02-01 15:30:44.376 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/share] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-01 15:30:44.377 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-02-01 15:30:44.391 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2022-02-01 16:10:15.698 [restartedMain] INFO  c.s.springbootdemo.SpringbootdemoApplication - Starting SpringbootdemoApplication on Jiang with PID 11612 (F:\workspace\java\SpringBootWorkSpace\target\classes started by Administrator in F:\workspace\java\SpringBootWorkSpace)
2022-02-01 16:10:15.700 [restartedMain] INFO  c.s.springbootdemo.SpringbootdemoApplication - No active profile set, falling back to default profiles: default
2022-02-01 16:10:15.758 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-01 16:10:15.759 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-01 16:10:16.446 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userDao' and 'com.springboot.springbootdemo.dao.db1.UserDao' mapperInterface. Bean already defined with the same name!
2022-02-01 16:10:16.446 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'departmentDao' and 'com.springboot.springbootdemo.dao.db2.DepartmentDao' mapperInterface. Bean already defined with the same name!
2022-02-01 16:10:16.653 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-01 16:10:16.655 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2022-02-01 16:10:16.743 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 82ms. Found 1 Elasticsearch repository interfaces.
2022-02-01 16:10:16.748 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-01 16:10:16.749 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2022-02-01 16:10:16.759 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Reactive Elasticsearch repository interfaces.
2022-02-01 16:10:16.769 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-01 16:10:16.769 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2022-02-01 16:10:16.785 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.springboot.springbootdemo.dao.es.EsBeanDao. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-02-01 16:10:16.786 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 JPA repository interfaces.
2022-02-01 16:10:16.803 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-01 16:10:16.804 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
